state,year,daily_packs
AL,1970,89.8
AR,1970,100.3
CA,1970,123.0
CO,1970,124.8
CT,1970,120.0
DE,1970,155.0
GA,1970,109.9
IA,1970,108.5
ID,1970,102.4
IL,1970,124.8
IN,1970,134.6
KS,1970,114.0
KY,1970,155.8
LA,1970,115.9
ME,1970,128.5
MN,1970,104.3
MO,1970,121.3
MS,1970,93.4
MT,1970,111.2
NC,1970,172.4
ND,1970,93.8
NE,1970,108.1
NH,1970,265.7
NM,1970,90.0
NV,1970,189.5
OH,1970,121.6
OK,1970,108.4
PA,1970,107.3
RI,1970,123.9
SC,1970,103.6
SD,1970,92.7
TN,1970,99.8
TX,1970,106.4
UT,1970,65.5
VA,1970,124.3
VT,1970,122.6
WI,1970,106.4
WV,1970,114.5
WY,1970,132.2
AL,1971,95.4
AR,1971,104.1
CA,1971,121.0
CO,1971,125.5
CT,1971,117.6
DE,1971,161.1
GA,1971,115.7
IA,1971,108.4
ID,1971,108.5
IL,1971,125.6
IN,1971,139.3
KS,1971,102.8
KY,1971,163.5
LA,1971,119.8
ME,1971,133.2
MN,1971,116.4
MO,1971,127.6
MS,1971,105.4
MT,1971,115.6
NC,1971,187.6
ND,1971,98.5
NE,1971,108.6
NH,1971,278.0
NM,1971,92.6
NV,1971,190.5
OH,1971,124.6
OK,1971,115.4
PA,1971,106.3
RI,1971,123.2
SC,1971,115.0
SD,1971,96.7
TN,1971,106.3
TX,1971,108.9
UT,1971,67.7
VA,1971,128.4
VT,1971,124.4
WI,1971,105.4
WV,1971,111.5
WY,1971,131.7
AL,1972,101.1
AR,1972,103.9
CA,1972,123.5
CO,1972,134.3
CT,1972,110.8
DE,1972,156.3
GA,1972,117.0
IA,1972,109.4
ID,1972,126.1
IL,1972,126.6
IN,1972,149.2
KS,1972,111.0
KY,1972,179.4
LA,1972,125.3
ME,1972,136.5
MN,1972,96.8
MO,1972,130.0
MS,1972,112.1
MT,1972,122.2
NC,1972,214.1
ND,1972,103.8
NE,1972,104.9
NH,1972,296.2
NM,1972,99.3
NV,1972,198.6
OH,1972,124.4
OK,1972,121.7
PA,1972,109.0
RI,1972,134.4
SC,1972,118.7
SD,1972,103.0
TN,1972,111.5
TX,1972,108.6
UT,1972,71.3
VA,1972,137.0
VT,1972,138.0
WI,1972,108.8
WV,1972,117.5
WY,1972,140.0
AL,1973,102.9
AR,1973,108.0
CA,1973,124.4
CO,1973,137.9
CT,1973,109.3
DE,1973,154.7
GA,1973,119.8
IA,1973,110.6
ID,1973,121.8
IL,1973,124.4
IN,1973,156.0
KS,1973,115.2
KY,1973,201.9
LA,1973,126.7
ME,1973,138.0
MN,1973,106.8
MO,1973,132.1
MS,1973,115.0
MT,1973,119.9
NC,1973,226.5
ND,1973,108.7
NE,1973,106.6
NH,1973,279.0
NM,1973,98.9
NV,1973,201.5
OH,1973,120.5
OK,1973,124.1
PA,1973,110.7
RI,1973,142.0
SC,1973,125.5
SD,1973,103.5
TN,1973,109.7
TX,1973,110.4
UT,1973,72.7
VA,1973,143.1
VT,1973,146.8
WI,1973,109.5
WV,1973,116.6
WY,1973,141.2
AL,1974,108.2
AR,1974,109.7
CA,1974,126.7
CO,1974,132.8
CT,1974,112.4
DE,1974,151.3
GA,1974,123.7
IA,1974,116.1
ID,1974,125.6
IL,1974,131.9
IN,1974,159.6
KS,1974,118.6
KY,1974,212.4
LA,1974,129.9
ME,1974,142.1
MN,1974,110.6
MO,1974,135.4
MS,1974,117.1
MT,1974,121.9
NC,1974,227.3
ND,1974,110.5
NE,1974,110.5
NH,1974,269.8
NM,1974,100.3
NV,1974,204.7
OH,1974,122.1
OK,1974,130.5
PA,1974,114.2
RI,1974,146.1
SC,1974,129.7
SD,1974,108.4
TN,1974,114.8
TX,1974,114.7
UT,1974,75.6
VA,1974,149.6
VT,1974,151.8
WI,1974,111.8
WV,1974,119.9
WY,1974,145.8
AL,1975,111.7
AR,1975,114.8
CA,1975,127.1
CO,1975,131.0
CT,1975,110.2
DE,1975,147.6
GA,1975,122.9
IA,1975,120.5
ID,1975,123.3
IL,1975,131.8
IN,1975,162.4
KS,1975,123.4
KY,1975,223.0
LA,1975,133.6
ME,1975,140.7
MN,1975,111.5
MO,1975,135.6
MS,1975,116.8
MT,1975,123.7
NC,1975,226.0
ND,1975,117.9
NE,1975,114.1
NH,1975,269.1
NM,1975,103.1
NV,1975,205.2
OH,1975,122.5
OK,1975,132.9
PA,1975,114.6
RI,1975,154.7
SC,1975,130.5
SD,1975,113.5
TN,1975,117.4
TX,1975,116.0
UT,1975,75.8
VA,1975,152.7
VT,1975,155.5
WI,1975,113.5
WV,1975,123.2
WY,1975,160.7
AL,1976,116.2
AR,1976,119.1
CA,1976,128.0
CO,1976,134.2
CT,1976,113.4
DE,1976,153.0
GA,1976,125.9
IA,1976,124.4
ID,1976,125.1
IL,1976,134.4
IN,1976,166.6
KS,1976,127.7
KY,1976,230.9
LA,1976,139.6
ME,1976,144.9
MN,1976,116.7
MO,1976,139.5
MS,1976,120.9
MT,1976,124.9
NC,1976,230.2
ND,1976,125.4
NE,1976,118.1
NH,1976,290.5
NM,1976,102.4
NV,1976,201.4
OH,1976,124.6
OK,1976,138.6
PA,1976,118.8
RI,1976,150.2
SC,1976,136.8
SD,1976,116.7
TN,1976,121.7
TX,1976,121.4
UT,1976,77.9
VA,1976,158.1
VT,1976,171.1
WI,1976,115.4
WV,1976,129.7
WY,1976,161.5
AL,1977,117.1
AR,1977,122.6
CA,1977,126.4
CO,1977,132.0
CT,1977,117.3
DE,1977,153.3
GA,1977,127.9
IA,1977,125.5
ID,1977,125.0
IL,1977,134.0
IN,1977,173.0
KS,1977,127.9
KY,1977,229.4
LA,1977,140.0
ME,1977,145.6
MN,1977,117.2
MO,1977,140.8
MS,1977,122.1
MT,1977,127.0
NC,1977,217.0
ND,1977,122.2
NE,1977,117.7
NH,1977,278.8
NM,1977,102.4
NV,1977,190.8
OH,1977,127.3
OK,1977,140.4
PA,1977,120.1
RI,1977,148.8
SC,1977,137.2
SD,1977,115.6
TN,1977,124.6
TX,1977,124.2
UT,1977,78.9
VA,1977,157.7
VT,1977,169.4
WI,1977,117.2
WV,1977,133.9
WY,1977,160.4
AL,1978,123.0
AR,1978,127.3
CA,1978,126.1
CO,1978,129.2
CT,1978,117.5
DE,1978,155.5
GA,1978,130.6
IA,1978,127.1
ID,1978,122.8
IL,1978,136.7
IN,1978,150.9
KS,1978,127.1
KY,1978,224.7
LA,1978,142.7
ME,1978,143.9
MN,1978,118.9
MO,1978,141.8
MS,1978,124.9
MT,1978,127.2
NC,1978,205.5
ND,1978,121.9
NE,1978,117.4
NH,1978,269.6
NM,1978,103.1
NV,1978,187.0
OH,1978,131.3
OK,1978,143.6
PA,1978,122.3
RI,1978,146.8
SC,1978,140.4
SD,1978,116.9
TN,1978,127.3
TX,1978,126.6
UT,1978,79.6
VA,1978,155.9
VT,1978,162.4
WI,1978,116.7
WV,1978,131.6
WY,1978,160.3
AL,1979,121.4
AR,1979,126.5
CA,1979,121.9
CO,1979,131.5
CT,1979,117.4
DE,1979,150.2
GA,1979,131.0
IA,1979,124.2
ID,1979,117.5
IL,1979,135.3
IN,1979,148.9
KS,1979,126.4
KY,1979,214.9
LA,1979,140.1
ME,1979,138.5
MN,1979,118.3
MO,1979,140.2
MS,1979,123.9
MT,1979,120.3
NC,1979,197.3
ND,1979,121.3
NE,1979,116.1
NH,1979,254.6
NM,1979,101.0
